Nombre,Categoria,Precio,Calidad
ShadowKingdom,RPG,67995,40
EmpireKingdom,Deportes,39961,35
KingdomQuest,Estrategia,34001,31
EmpireChronicle,Acción,43436,61
KingdomChronicle,Simulación,21911,2
QuestHero,FPS,24775,8
ShadowDragon,Aventura,9393,43
GalaxyChronicle,Plataforma,16066,32
HeroHero,Acción,67394,6
QuestGalaxy,MMORPG,24721,54
GalaxyKingdom,Acción,66014,65
WarriorQuest,Simulación,10482,15
ChronicleShadow,Puzzle,19106,49
LegendsQuest,Plataforma,15700,39
ChronicleKingdom,Estrategia,37821,45
AdventureDragon,Estrategia,29126,3
DragonHero,Plataforma,11364,21
KingdomChronicle,Battle Royale,13182,1
ShadowAdventure,Aventura,69218,88
EmpireQuest,Plataforma,45615,13
ChronicleChronicle,Battle Royale,47682,29
HeroShadow,Deportes,57566,41
HeroFantasy,Deportes,1451,41
HeroLegends,Aventura,37564,92
FantasyHero,Deportes,2122,0
WarriorLegends,Puzzle,482,87
HeroShadow,Deportes,40048,70
AdventureLegends,FPS,11027,39
HeroChronicle,MMORPG,61105,4
HeroLegends,Puzzle,56990,36
QuestHero,MMORPG,63492,12
QuestKingdom,Simulación,57889,69
FantasyEmpire,Acción,40199,64
LegendsQuest,Deportes,11962,57
GalaxyLegends,Plataforma,65789,80
EmpireFantasy,MMORPG,12591,66
KingdomHero,Simulación,37164,57
EmpireLegends,Battle Royale,19608,10
ShadowEmpire,Deportes,47783,3
FantasyEmpire,MMORPG,54188,84
AdventureEmpire,Deportes,30249,12
EmpireAdventure,Acción,21247,81
DragonShadow,MMORPG,64801,93
QuestDragon,Estrategia,10049,53
AdventureChronicle,Aventura,55117,2
ChronicleKingdom,Battle Royale,47812,44
GalaxyChronicle,MMORPG,50673,51
AdventureKingdom,FPS,26474,35
QuestFantasy,FPS,17116,45
KingdomLegends,Puzzle,11297,57
KingdomQuest,Battle Royale,59071,3
WarriorEmpire,Aventura,7534,38
FantasyGalaxy,Aventura,47068,34
AdventureChronicle,RPG,64202,69
DragonChronicle,Deportes,41726,55
AdventureWarrior,Estrategia,3853,75
WarriorHero,Deportes,32874,77
FantasyHero,MMORPG,11627,85
FantasyFantasy,Simulación,62795,73
EmpireAdventure,Simulación,48052,47
GalaxyShadow,Acción,68885,77
LegendsFantasy,Estrategia,60629,47
DragonChronicle,Battle Royale,34285,36
FantasyKingdom,Puzzle,44554,21
DragonDragon,Acción,23076,98
FantasyFantasy,Deportes,22623,41
QuestAdventure,Puzzle,49421,78
FantasyHero,Deportes,20689,66
HeroLegends,Battle Royale,25098,80
WarriorQuest,Deportes,52420,94
HeroHero,Carreras,60331,11
WarriorFantasy,FPS,12302,87
HeroKingdom,Puzzle,14126,27
LegendsFantasy,Deportes,38463,8
EmpireAdventure,Plataforma,64578,49
DragonChronicle,Plataforma,11173,80
KingdomShadow,Carreras,30272,11
GalaxyKingdom,MMORPG,56546,56
GalaxyGalaxy,Plataforma,59829,89
HeroFantasy,Aventura,3926,31
HeroKingdom,Simulación,54346,4
DragonKingdom,RPG,57642,54
QuestDragon,RPG,63001,81
GalaxyQuest,Plataforma,55537,25
ChronicleFantasy,Acción,68177,7
AdventureShadow,RPG,57669,94
AdventureFantasy,Puzzle,39093,62
ShadowKingdom,Aventura,26768,29
QuestHero,Carreras,7009,42
EmpireLegends,Puzzle,25117,3
FantasyGalaxy,Simulación,60535,67
FantasyLegends,MMORPG,57554,41
LegendsFantasy,Plataforma,51455,45
FantasyQuest,Battle Royale,29121,65
GalaxyShadow,Carreras,35628,100
FantasyEmpire,MMORPG,19839,30
DragonDragon,Puzzle,62520,51
KingdomEmpire,FPS,2,0
FantasyWarrior,Deportes,19433,33
GalaxyHero,FPS,36036,22
GalaxyDragon,Plataforma,29609,46
GalaxyShadow,Aventura,22019,39
DragonKingdom,Estrategia,37653,46
ShadowFantasy,Estrategia,60451,61
FantasyQuest,Aventura,55976,50
LegendsDragon,Puzzle,35308,19
EmpireLegends,FPS,66554,19
ChronicleDragon,RPG,15147,20
LegendsChronicle,Estrategia,66656,93
LegendsChronicle,Plataforma,31916,57
KingdomKingdom,Simulación,7798,41
DragonHero,Simulación,66030,57
LegendsFantasy,Plataforma,60533,48
QuestKingdom,Plataforma,26684,6
LegendsGalaxy,Simulación,31322,49
DragonEmpire,Estrategia,7478,89
AdventureAdventure,Estrategia,37684,48
GalaxyWarrior,MMORPG,5152,92
QuestWarrior,Simulación,46106,12
FantasyQuest,Acción,13125,50
DragonWarrior,Plataforma,54312,9
ShadowGalaxy,Estrategia,21335,3
HeroHero,Battle Royale,63,84
WarriorQuest,Battle Royale,53838,5
EmpireFantasy,Acción,15834,5
FantasyGalaxy,Acción,15053,32
WarriorFantasy,Plataforma,51297,58
EmpireShadow,Aventura,45495,10
KingdomDragon,Acción,56693,35
DragonLegends,Puzzle,15661,100
KingdomWarrior,Acción,17586,28
DragonHero,Battle Royale,52149,34
FantasyShadow,Aventura,22541,31
FantasyLegends,Simulación,9379,76
WarriorKingdom,Puzzle,56251,25
ChronicleHero,FPS,5426,69
FantasyKingdom,RPG,23191,32
LegendsDragon,Puzzle,23513,93
QuestAdventure,Simulación,31236,48
LegendsQuest,Plataforma,45355,44
QuestQuest,Aventura,13871,95
WarriorChronicle,Carreras,52580,99
DragonHero,FPS,67765,59
ShadowKingdom,MMORPG,62173,8
GalaxyLegends,Estrategia,18833,61
FantasyShadow,Acción,61936,36
WarriorEmpire,Acción,64277,66
KingdomShadow,Carreras,9772,86
ChronicleQuest,Aventura,54497,93
ShadowDragon,Simulación,45,59
LegendsLegends,Aventura,2335,72
WarriorQuest,Deportes,41585,25
KingdomLegends,Plataforma,53990,67
